issue_id,run_id,issue_type,natural_key,detail
de639759-92a4-4d11-b5db-a734dfbf501f,8ed6c78a-1965-4871-9dbb-0e5d7b1e96cb,missing_territory_norm,"universidad nacional de loja|administracion turistica|ciencias sociales, educacion comercial y derecho|tercer nivel o pregrado|distancia|pastaza|","{""provincia_original"": ""PASTAZA"", ""canton_original"": ""PUYO""}"
29b20abd-c213-4ada-bffa-84de67bf796d,8ed6c78a-1965-4871-9dbb-0e5d7b1e96cb,missing_territory_norm,universidad nacional de loja|educacion basica|educacion|tercer nivel o pregrado|presencial|zamorachinchipe|,"{""provincia_original"": ""ZAMORA CHINCHIPE"", ""canton_original"": ""ZUMBA""}"
1f47aa15-f586-4c15-8b85-9275b9eac399,8ed6c78a-1965-4871-9dbb-0e5d7b1e96cb,missing_territory_norm,universidad nacional de loja|informatica educativa|educacion|tercer nivel o pregrado|presencial|loja|,"{""provincia_original"": ""LOJA"", ""canton_original"": ""CATACOCHA""}"
835743d9-fef0-4a5b-a33f-53df2367e58e,8ed6c78a-1965-4871-9dbb-0e5d7b1e96cb,missing_territory_norm,universidad nacional de loja|ciencias de la educacion mencion investigacion educativa|educacion|tercer nivel o pregrado|presencial|loja|,"{""provincia_original"": ""LOJA"", ""canton_original"": ""CATACOCHA""}"
9c158a7f-d438-4bc8-ada3-9863dfb59941,8ed6c78a-1965-4871-9dbb-0e5d7b1e96cb,missing_territory_norm,universidad nacional de loja|ciencias de la educacion mencion investigacion educativa|educacion|tercer nivel o pregrado|presencial|loja|,"{""provincia_original"": ""LOJA"", ""canton_original"": ""CARIAMANGA""}"
9336ca40-9c22-4b28-9fe5-5c8c8d4ba88e,8ed6c78a-1965-4871-9dbb-0e5d7b1e96cb,missing_territory_norm,universidad nacional de loja|educacion basica|educacion|tercer nivel o pregrado|presencial|loja|,"{""provincia_original"": ""LOJA"", ""canton_original"": ""CATACOCHA""}"
f3998251-4bfe-4195-ba1f-7cef73a098d3,8ed6c78a-1965-4871-9dbb-0e5d7b1e96cb,missing_territory_norm,universidad nacional de loja|informatica educativa|educacion|tercer nivel o pregrado|presencial|loja|,"{""provincia_original"": ""LOJA"", ""canton_original"": ""ESPINDOLA""}"
bc7fd4fa-8eca-4d66-ab97-a05a97ba9d16,8ed6c78a-1965-4871-9dbb-0e5d7b1e96cb,missing_territory_norm,universidad nacional de loja|educacion basica|educacion|tercer nivel o pregrado|presencial|loja|,"{""provincia_original"": ""LOJA"", ""canton_original"": ""ESPINDOLA""}"
885a32a9-527b-4450-84b7-b42b06bf6354,8ed6c78a-1965-4871-9dbb-0e5d7b1e96cb,missing_territory_norm,universidad nacional de loja|maestria en administracion para el desarrollo educativo|educacion|cuarto nivel o posgrado|semipresencial|loja|,"{""provincia_original"": ""LOJA"", ""canton_original"": ""CARIAMANGA""}"
18770515-dd96-4676-865d-03805c18ced4,8ed6c78a-1965-4871-9dbb-0e5d7b1e96cb,missing_territory_norm,universidad tecnica de manabi|ingenieria en acuicultura y pesquerias|agricultura|tercer nivel o pregrado|presencial|manabi|,"{""provincia_original"": ""MANABÍ"", ""canton_original"": ""BAHIA DE CARAQUEZ""}"
