false_positive_rate,true_positive_rate,threshold
0.0,0.0,inf
0.0016244314489928524,0.01611170784103115,0.9336468727738071
0.0022742040285899934,0.047261009667024706,0.9310310328620276
0.00649772579597141,0.13211600429645542,0.9251633229976992
0.00682261208576998,0.1364124597207304,0.9221434062483697
0.010721247563352826,0.17293233082706766,0.9180373879598179
0.011371020142949967,0.18689581095596133,0.9151104947353398
0.012670565302144249,0.21697099892588614,0.9145113095754624
0.01299545159194282,0.22126745435016112,0.9124350757263818
0.015269655620532813,0.23415682062298604,0.9121658852515253
0.017868745938921377,0.24704618689581095,0.9115314449433305
0.01916829109811566,0.2534908700322234,0.9095089913183275
0.02046783625730994,0.26745435016111707,0.9087240585653756
0.021442495126705652,0.284640171858217,0.9086754374379956
0.024366471734892786,0.29108485499462944,0.9011507369046093
0.02599090318388564,0.31364124597207305,0.900466747630983
0.02631578947368421,0.317937701396348,0.886997381723585
0.02696556205328135,0.32438238453276047,0.8859112483707959
0.028914879792072773,0.3619763694951665,0.8740775046003136
0.029564652371669914,0.3727175080558539,0.8735919336620365
0.03151397011046134,0.3748657357679914,0.8628539761804987
0.0341130604288499,0.38990332975295383,0.8626038725754848
0.03541260558804418,0.38990332975295383,0.8612445162407149
0.03931124106562703,0.4070891514500537,0.8609518190788463
0.04126055880441845,0.4221267454350161,0.8593240595064537
0.0451591942820013,0.43823845327604727,0.8558680518766999
0.04548408057179987,0.43823845327604727,0.851460862161145
0.04548408057179987,0.44038668098818473,0.8479812229396835
0.050357374918778425,0.4640171858216971,0.8406411721428234
0.050357374918778425,0.4683136412459721,0.8057201847302526
0.051332033788174136,0.4683136412459721,0.7996583076674029
0.0539311241065627,0.47046186895810954,0.79351622347902
0.05523066926575698,0.47690655209452204,0.7794153499562919
0.05847953216374269,0.4897959183673469,0.765481973799167
0.06107862248213125,0.4983888292158969,0.7645927142635502
0.06140350877192982,0.5026852846401718,0.7607728046523947
0.06237816764132553,0.5026852846401718,0.7501743750518064
0.0649772579597141,0.5112781954887218,0.7501143742694304
0.06530214424951267,0.5112781954887218,0.7467201605763734
0.0682261208576998,0.5134264232008593,0.744814908285693
0.06887589343729694,0.5155746509129968,0.7415737238162063
0.06920077972709551,0.5177228786251342,0.732563633552663
0.06985055230669265,0.5177228786251342,0.7288249573568114
0.07309941520467836,0.5177228786251342,0.7243897172694163
0.07602339181286549,0.5263157894736842,0.7239472124467515
0.07667316439246263,0.5306122448979592,0.7199417128484782
0.07732293697205977,0.5306122448979592,0.7158272176891095
0.07894736842105263,0.5413533834586466,0.6986888676323089
0.08024691358024691,0.5413533834586466,0.69415668059176
0.08024691358024691,0.5435016111707841,0.6937034745345549
0.08414554905782975,0.5510204081632653,0.6926822010579359
0.08414554905782975,0.5531686358754028,0.691378956240103
0.08512020792722547,0.5596133190118152,0.6892799638846754
0.08674463937621832,0.5617615467239527,0.6888183913158451
0.09226770630279402,0.5735767991407089,0.683369465185011
0.09389213775178687,0.5875402792696026,0.6768865501600937
0.09584145549057829,0.5918367346938775,0.6707535822453906
0.099090318388564,0.5961331901181526,0.6686894250658623
0.09974009096816114,0.602577873254565,0.6660363811504673
0.10006497725795971,0.602577873254565,0.6625090800544596
0.10396361273554255,0.611170784103115,0.6554392896910161
0.10428849902534112,0.611170784103115,0.6521455685294472
0.10428849902534112,0.6154672395273899,0.6499598790902968
0.10591293047433398,0.6154672395273899,0.6466613223232797
0.11208576998050682,0.6251342642320086,0.646635284640653
0.11468486029889538,0.635875402792696,0.6448152586489874
0.11500974658869395,0.635875402792696,0.643491881704713
0.11695906432748537,0.640171858216971,0.6432887836164521
0.1189083820662768,0.6423200859291085,0.6418308111199704
0.12053281351526965,0.6423200859291085,0.6352683777874075
0.12053281351526965,0.6487647690655209,0.6324874796747055
0.12085769980506822,0.6530612244897959,0.6272079128546917
0.12183235867446393,0.6552094522019334,0.6241743523840192
0.12735542560103963,0.6638023630504833,0.6150142589619301
0.13677712800519817,0.6766917293233082,0.6088713752703037
0.13677712800519817,0.677765843179377,0.6050214498571417
0.13677712800519817,0.6799140708915145,0.6042375224890425
0.13807667316439245,0.6799140708915145,0.5990864587939714
0.1397011046133853,0.682062298603652,0.5930468608282939
0.14002599090318388,0.682062298603652,0.5893702542671054
0.14132553606237816,0.682062298603652,0.5749555305599714
0.14165042235217673,0.682062298603652,0.5724106864572321
0.14262508122157244,0.6842105263157895,0.5620525514664492
0.142949967511371,0.6842105263157895,0.5525817876651302
0.14489928525016244,0.6852846401718582,0.5355504101338026
0.14554905782975958,0.6852846401718582,0.5303625248096483
0.14619883040935672,0.6852846401718582,0.5285780469082109
0.1484730344379467,0.6938775510204082,0.5260924296604735
0.1484730344379467,0.6949516648764769,0.5250603990903805
0.15821962313190382,0.7056928034371643,0.5243014161751259
0.15919428200129954,0.7078410311493019,0.521501714740733
0.16211825860948667,0.7121374865735768,0.5181607804745879
0.16309291747888238,0.7121374865735768,0.5092698309476236
0.1673164392462638,0.7164339419978518,0.5053160286808602
0.16764132553606237,0.7164339419978518,0.4959445994828266
0.16796621182586094,0.7175080558539205,0.495221056827097
0.1682910981156595,0.7175080558539205,0.4928026947817245
0.16894087069525665,0.7218045112781954,0.49221206781497046
0.16926575698505522,0.7218045112781954,0.49214942158144603
0.16926575698505522,0.7228786251342643,0.4857235332246703
0.1705653021442495,0.723952738990333,0.48488792957586496
0.17121507472384664,0.7271750805585392,0.48023290235913124
0.17153996101364521,0.7271750805585392,0.47929299235077727
0.17218973359324236,0.7271750805585392,0.47808893262311075
0.18031189083820662,0.7336197636949516,0.47718743363452376
0.1806367771280052,0.7336197636949516,0.4749221668639414
0.18193632228719947,0.7336197636949516,0.4746055235716844
0.18356075373619232,0.7336197636949516,0.4719223131721204
0.18356075373619232,0.7357679914070892,0.4677425482166392
0.1871345029239766,0.7379162191192267,0.4673341141836178
0.18778427550357374,0.7379162191192267,0.4640002802561125
0.1894087069525666,0.7379162191192267,0.46288905311975836
0.19395711500974658,0.7411385606874329,0.46009562120329783
0.1949317738791423,0.7411385606874329,0.4599320228803696
0.19525666016894086,0.7411385606874329,0.459137565610908
0.195906432748538,0.7411385606874329,0.45791799768303076
0.19720597790773228,0.7432867883995704,0.4557689117302777
0.19785575048732942,0.7432867883995704,0.4519005342407625
0.19850552306692656,0.7432867883995704,0.45002224801519236
0.19883040935672514,0.7432867883995704,0.4481786798920109
0.20012995451591942,0.7432867883995704,0.4459928500807506
0.200454840805718,0.7432867883995704,0.44434339901495784
0.2014294996751137,0.7432867883995704,0.44066446432137174
0.20402858999350226,0.748657357679914,0.44048184489259845
0.20435347628330083,0.748657357679914,0.4396626204857508
0.20630279402209226,0.7508055853920516,0.43933032576942455
0.20630279402209226,0.7529538131041891,0.438188068276578
0.20890188434048082,0.7540279269602578,0.4338724121391054
0.20987654320987653,0.7540279269602578,0.4278447620309956
0.21085120207927224,0.7551020408163265,0.4227839783977457
0.2124756335282651,0.7593984962406015,0.4208801355884503
0.21312540610786224,0.7593984962406015,0.42028982255325054
0.21539961013645223,0.7593984962406015,0.4191021220043594
0.22417153996101363,0.761546723952739,0.4187100271660235
0.2309941520467836,0.7690655209452202,0.4165220820896947
0.23164392462638075,0.7690655209452202,0.4160289430820993
0.23164392462638075,0.7701396348012889,0.41599288265271817
0.23359324236517218,0.7712137486573577,0.41583013045470807
0.2433398310591293,0.7798066595059077,0.40852616906542705
0.24528914879792071,0.7798066595059077,0.3989888725388414
0.246588693957115,0.7798066595059077,0.39881443048484966
0.24691358024691357,0.7819548872180451,0.3978722480093008
0.24723846653671214,0.7819548872180451,0.39658270856104355
0.25471085120207926,0.7883995703544576,0.396188959449919
0.255685510071475,0.7916219119226638,0.39572284727640034
0.25601039636127354,0.7916219119226638,0.3945853305692779
0.2608836907082521,0.7937701396348013,0.3938197669517748
0.2608836907082521,0.7959183673469388,0.3931702777312024
0.26120857699805067,0.7969924812030075,0.393017414125232
0.2654320987654321,0.799140708915145,0.3923225484305854
0.2699805068226121,0.8002148227712137,0.39197007775478904
0.2716049382716049,0.8045112781954887,0.3917804824389527
0.2764782326185835,0.8066595059076263,0.3886824967815006
0.2794022092267706,0.8098818474758325,0.3854556971152133
0.2797270955165692,0.8098818474758325,0.3847731911159708
0.2826510721247563,0.8109559613319012,0.3845130051289184
0.28979857050032487,0.8120300751879699,0.38418750568765747
0.2907732293697206,0.8131041890440387,0.38374844218655585
0.29142300194931775,0.8131041890440387,0.381108964526185
0.2953216374269006,0.8152524167561761,0.38012289187819304
0.29597141000649774,0.8152524167561761,0.37971681884914904
0.2962962962962963,0.8152524167561761,0.3780043627771234
0.2998700454840806,0.8163265306122449,0.37649941582910335
0.3014944769330734,0.8163265306122449,0.3759240990410196
0.3050682261208577,0.8184747583243824,0.3748395055691384
0.306367771280052,0.8195488721804511,0.3748234614334361
0.31319038336582194,0.8259935553168636,0.3742602335571471
0.3138401559454191,0.8259935553168636,0.37387287541656566
0.31513970110461337,0.8259935553168636,0.37353812671768943
0.31546458739441197,0.8259935553168636,0.3711533592095908
0.32001299545159195,0.8270676691729323,0.37038706080983774
0.3317089018843405,0.8270676691729323,0.36960397795413624
0.3447043534762833,0.8356605800214822,0.3694473854841962
0.34827810266406756,0.8356605800214822,0.3679781095752641
0.34860298895386616,0.8356605800214822,0.36603132997532833
0.350227420402859,0.8367346938775511,0.36423290579064815
0.3508771929824561,0.8367346938775511,0.35993187199278814
0.35152696556205326,0.8367346938775511,0.35967497149517885
0.3589993502274204,0.8388829215896885,0.3588152644713126
0.387264457439896,0.8549946294307197,0.35583476088899707
0.38791423001949316,0.8549946294307197,0.3554975329807922
0.40545808966861596,0.8646616541353384,0.3554907106235611
0.4139051332033788,0.8657357679914071,0.35510036893954283
0.4142300194931774,0.8657357679914071,0.3545079481597029
0.4142300194931774,0.8668098818474759,0.35292979125156293
0.4272254710851202,0.8700322234156821,0.35282753072227685
0.42787524366471735,0.8700322234156821,0.3527664700381358
0.4298245614035088,0.8721804511278195,0.34952797847090766
0.4301494476933073,0.8721804511278195,0.3494504701400356
0.4363222871994802,0.878625134264232,0.34896383781059226
0.4369720597790773,0.8796992481203008,0.3487464189446639
0.4369720597790773,0.8807733619763695,0.34867865268893683
0.4392462638076673,0.8807733619763695,0.34805185236917213
0.44346978557504874,0.8807733619763695,0.3477094223025524
0.45159194282001297,0.8872180451127819,0.3469450157618409
0.4525666016894087,0.8872180451127819,0.34612263575277535
0.4525666016894087,0.8882921589688507,0.3456591775786815
0.45289148797920725,0.8882921589688507,0.34560147911724004
0.453866146848603,0.8882921589688507,0.34513208359213277
0.4551656920077973,0.8882921589688507,0.3439221940959009
0.4554905782975958,0.8882921589688507,0.3432125679296115
0.45614035087719296,0.8882921589688507,0.3429839539213068
0.4567901234567901,0.8915145005370569,0.3422529426166135
0.46426250812215725,0.9022556390977443,0.3412374573395799
0.46751137102014295,0.9044038668098818,0.3404771639259454
0.46848602988953864,0.9044038668098818,0.3387266960644503
0.46881091617933723,0.9044038668098818,0.33655187431593747
0.4766081871345029,0.9065520945220193,0.33578841624631084
0.47725795971410007,0.9065520945220193,0.3357797732522021
0.4775828460038986,0.907626208378088,0.3352017676540182
0.4788823911630929,0.907626208378088,0.3349882663024925
0.47953216374269003,0.9087003222341569,0.33267492330853027
0.4808317089018843,0.9087003222341569,0.33204830786457146
0.48148148148148145,0.9087003222341569,0.3299682528155941
0.48180636777128005,0.9087003222341569,0.32979147504481027
0.48408057179987,0.9097744360902256,0.329644383972185
0.48505523066926576,0.9097744360902256,0.32133870125075376
0.48635477582846004,0.9097744360902256,0.32000848241711394
0.4876543209876543,0.9119226638023631,0.31961063066028256
0.48830409356725146,0.9119226638023631,0.31864852781393677
0.49252761533463285,0.9129967776584318,0.318416765020104
0.4980506822612086,0.9129967776584318,0.3179592413307865
0.4983755685510071,0.9140708915145005,0.31436394135692347
0.5029239766081871,0.916219119226638,0.313965816682364
0.50454840805718,0.916219119226638,0.31169667800652795
0.5048732943469786,0.916219119226638,0.3091871628500079
0.50909681611436,0.9183673469387755,0.30610806080271935
0.5094217024041585,0.9183673469387755,0.3056963099153259
0.5110461338531515,0.9194414607948442,0.30559343211421847
0.51137102014295,0.9194414607948442,0.3037303659949679
0.5126705653021443,0.9194414607948442,0.30218081770104616
0.5152696556205328,0.920515574650913,0.3019162155579889
0.5175438596491229,0.920515574650913,0.3011555617200311
0.5188434048083171,0.920515574650913,0.30009820808991267
0.5230669265756985,0.920515574650913,0.2994293768142417
0.5259909031838856,0.920515574650913,0.29921940710502865
0.5263157894736842,0.920515574650913,0.2987699400521688
0.5269655620532814,0.920515574650913,0.29874843624098796
0.5295646523716699,0.920515574650913,0.29705889390821344
0.5334632878492528,0.920515574650913,0.2966139456108348
0.5341130604288499,0.920515574650913,0.29536554931516895
0.5344379467186485,0.920515574650913,0.2945420518252198
0.5399610136452242,0.9237379162191193,0.29379076639376234
0.5406107862248213,0.9237379162191193,0.2930970045828598
0.5432098765432098,0.9269602577873255,0.29062043125755566
0.5435347628330085,0.9269602577873255,0.290272726922449
0.5451591942820013,0.9269602577873255,0.29024760243151265
0.5464587394411956,0.9291084854994629,0.2888144676671992
0.5467836257309941,0.9291084854994629,0.2885353969857732
0.5471085120207927,0.9334049409237379,0.28622795234354903
0.548408057179987,0.9355531686358755,0.28596648229083954
0.5490578297595842,0.9366272824919442,0.2852322189561574
0.5510071474983755,0.9366272824919442,0.2851468052923939
0.5513320337881742,0.9377013963480129,0.28440098264654556
0.5516569200779727,0.9377013963480129,0.2803646813076618
0.5549057829759584,0.9387755102040817,0.2803133100096103
0.555230669265757,0.9387755102040817,0.2780033590589046
0.5558804418453541,0.9387755102040817,0.2756556769893251
0.557504873294347,0.9387755102040817,0.2733801055336187
0.5581546458739441,0.9387755102040817,0.27142734723411743
0.5584795321637427,0.9409237379162191,0.27101609022354534
0.5594541910331384,0.9419978517722879,0.2667685506593242
0.5607537361923327,0.9430719656283566,0.26441380046766016
0.5610786224821313,0.9441460794844253,0.26413472018767004
0.5614035087719298,0.9441460794844253,0.2625519770200229
0.5640025990903184,0.9441460794844253,0.260881295293241
0.5646523716699156,0.9441460794844253,0.25323321766605306
0.5727745289148798,0.9441460794844253,0.25250929461499283
0.573424301494477,0.9462943071965628,0.2513514455247012
0.5737491877842755,0.9473684210526315,0.24966625309995139
0.5740740740740741,0.9473684210526315,0.24963034950745594
0.5747238466536713,0.9484425349087003,0.24950810960347564
0.5769980506822612,0.949516648764769,0.24890215996693432
0.5782975958414555,0.949516648764769,0.24829103650815668
0.5795971410006497,0.949516648764769,0.24821531019859852
0.5799220272904484,0.949516648764769,0.24438310450138906
0.5812215724496427,0.949516648764769,0.24070786816250064
0.5815464587394412,0.949516648764769,0.2400857017318512
0.5890188434048084,0.9548872180451128,0.23893630302809551
0.589993502274204,0.9548872180451128,0.2380795028116595
0.5909681611435997,0.9548872180451128,0.23712820831784748
0.592267706302794,0.9548872180451128,0.23544392404835074
0.5958414554905783,0.9548872180451128,0.23503658633306576
0.5968161143599741,0.9548872180451128,0.22966308773809765
