precision,recall,threshold
0.23222748815165878,1.0,4.0164072499241415e-06
0.23228542914171657,1.0,7.533523272412489e-06
0.2323433990516596,1.0,8.232906424588797e-06
0.2324013979031453,1.0,9.674568214854023e-06
0.2324594257178527,1.0,1.0072962452233494e-05
0.23251748251748253,1.0,1.1360521122295635e-05
0.23257556832375717,1.0,1.348532930186966e-05
0.23263368315842078,1.0,1.630330363181926e-05
0.23269182704323918,1.0,1.8449667125272253e-05
0.23275,1.0,2.2286945217638392e-05
0.23280820205051264,1.0,2.2301445504704422e-05
0.2328664332166083,1.0,2.5371590392236616e-05
0.2329246935201401,1.0,2.6779642939796006e-05
0.23298298298298298,1.0,2.6797066178405703e-05
0.2330413016270338,1.0,2.7070494944808913e-05
0.23309964947421133,1.0,2.727789135476023e-05
0.2331580265464563,1.0,2.7534390127181642e-05
0.23321643286573146,1.0,2.854140575058334e-05
0.23327486845402154,1.0,2.8883156391105067e-05
0.23333333333333334,1.0,2.927797389658038e-05
0.23339182752569565,1.0,2.9697186434331508e-05
0.23345035105315948,1.0,3.1283340831037755e-05
0.23350890393779783,1.0,3.1808452856074774e-05
0.23356748620170598,1.0,3.355974199053887e-05
0.23362609786700125,1.0,3.382884078243824e-05
0.23368473895582328,1.0,3.396512903993985e-05
0.23374340949033393,1.0,3.449851101193624e-05
0.23380210949271724,1.0,3.5949655424790895e-05
0.2338608389851796,1.0,3.602175239277666e-05
0.23391959798994974,1.0,3.745591180829031e-05
0.23397838652927871,1.0,3.9060572797739194e-05
0.23403720462543992,1.0,4.113578933844168e-05
0.2340960523007292,1.0,4.160223165354193e-05
0.23415492957746478,1.0,4.248782858406556e-05
0.2342138364779874,1.0,4.357250171764634e-05
0.2342727730246603,1.0,4.535731321029419e-05
0.2343317392398691,1.0,4.695150180974208e-05
0.23439073514602216,1.0,4.890311494130768e-05
0.23444976076555024,1.0,5.466587757834049e-05
0.2345088161209068,1.0,5.4847778949686076e-05
0.2345679012345679,1.0,5.890696471281787e-05
0.23462701612903225,1.0,5.922523843644836e-05
0.23468616082682128,1.0,5.957790455427194e-05
0.23474533535047906,1.0,5.979835252701634e-05
0.2348045397225725,1.0,6.46890881378732e-05
0.23486377396569122,1.0,6.637247346624933e-05
0.23492303810244763,1.0,6.676824097012594e-05
0.23498233215547704,1.0,6.683955963851687e-05
0.23504165614743752,1.0,6.807444513381781e-05
0.2351010101010101,1.0,6.879883941019612e-05
0.2351603940388987,1.0,6.954602750600737e-05
0.23521980798383021,1.0,7.048139581217689e-05
0.23527925195855445,1.0,7.58231678973811e-05
0.2353387259858443,1.0,7.604778583639407e-05
0.23539823008849559,1.0,7.685291078237376e-05
0.23545776428932727,1.0,8.02581290576491e-05
0.23551732861118138,1.0,8.171574545049864e-05
0.23557692307692307,1.0,8.20209438893987e-05
0.23563654770944065,1.0,8.989628946867873e-05
0.23569620253164558,1.0,9.088172668382593e-05
0.23575588756647253,1.0,9.097687033102345e-05
0.23581560283687944,1.0,9.289078989703171e-05
0.23587534836584748,1.0,9.309657242171873e-05
0.23593512417638116,1.0,9.394373926943358e-05
0.23599493029150823,1.0,9.701177106220518e-05
0.2360547667342799,1.0,9.721644688287383e-05
0.23611463352777073,1.0,9.799593960826263e-05
0.23617453069507863,1.0,9.832632322806476e-05
0.23623445825932504,1.0,9.844120211195298e-05
0.23629441624365483,1.0,9.946268844662201e-05
0.23635440467123636,1.0,0.0001002338364439529
0.23641442356526154,1.0,0.00010077025649049289
