fold,rows,groups,average_precision,f1
0,3207,2908,0.8181675006290644,0.6999266324284666
1,3208,2909,0.8392967915620043,0.7428571428571429
2,3207,2909,0.8552576373458589,0.7601683029453016
3,3207,2909,0.856674612029519,0.7657784011220197
4,3207,2909,0.8397746165243636,0.727662616154396
