precision,recall,threshold
0.23222748815165878,1.0,0.0
0.3363439306358382,1.0,1.2024048096192385e-05
0.3367088607594937,1.0,1.3605442176870747e-05
0.33707458363504705,1.0,2.325581395348837e-05
0.3373188405797101,1.0,2.4013722126929673e-05
0.33744110184849585,1.0,2.4390243902439026e-05
0.3382994186046512,1.0,2.8169014084507043e-05
0.33916211293260473,1.0,4.497472356426252e-05
0.3392857142857143,1.0,4.839754235620883e-05
0.33953318745441285,1.0,5.5585875543821184e-05
0.3396570594673477,1.0,5.839754235620883e-05
0.33978102189781023,1.0,5.965984613400047e-05
0.3399050748448339,1.0,7.335847627098677e-05
0.3400292184075968,1.0,7.5e-05
0.3405267008046818,1.0,7.905869938100221e-05
0.34077598828696926,1.0,8e-05
0.34102564102564104,1.0,8.108108108108109e-05
0.34115060461707586,1.0,8.777194298574644e-05
0.3414008067473414,1.0,9.090909090909092e-05
0.3420279206465834,1.0,9.268325664192312e-05
0.3422794117647059,1.0,0.00010256410256410256
0.34253127299484915,1.0,0.00010526315789473683
0.34265734265734266,1.0,0.00010638188677890941
0.3427835051546392,1.0,0.0001111111111111111
0.3429097605893186,1.0,0.00011334441366671649
0.343036109064112,1.0,0.000125
0.34316255068190193,1.0,0.00013333333333333334
0.34328908554572274,1.0,0.00013436692506459946
0.3434157137587606,1.0,0.0001395808620007908
0.34354243542435425,1.0,0.00014065757818765035
0.34379615952732645,1.0,0.00014567087938730975
0.3439231621721463,1.0,0.00015779335083816552
0.34417744916820703,1.0,0.00016103059581320451
0.3443047337278107,1.0,0.00016666666666666666
0.344559585492228,1.0,0.00017172123986580935
0.3448148148148148,1.0,0.00017761904761904763
0.34507042253521125,1.0,0.00018181818181818183
0.34532640949554894,1.0,0.00019016981049211335
0.34545454545454546,1.0,0.00019303510088048326
0.34583952451708766,1.0,0.0002044999767322816
0.3462253625883228,1.0,0.00021486643437862947
0.3463541666666667,1.0,0.0002186452045606975
0.3466120625465376,1.0,0.0002222222222222222
0.3471290082028337,1.0,0.00025
0.34764749813293505,1.0,0.0002860069588620203
0.3477773627194621,1.0,0.00028625568131760576
0.3479073243647235,1.0,0.0002876231520665457
0.3481675392670157,1.0,0.0003076557841144506
0.3482977927422372,1.0,0.00032532074397791864
0.34842814371257486,1.0,0.0003261621065591292
0.3485585922875328,1.0,0.00032860410900113166
0.348689138576779,1.0,0.00032939609987251214
0.34881978269014613,1.0,0.0003499543114545921
0.34895052473763116,1.0,0.00035747762192101553
0.34908136482939633,1.0,0.00035818277243120637
0.34921230307576895,1.0,0.0003618870636992304
0.349343339587242,1.0,0.0003802913844054277
0.3494744744744745,1.0,0.0004
0.3501316284317413,1.0,0.0004158119658119658
0.35026335590669677,1.0,0.00043288829307393993
0.35039518253669555,1.0,0.0004444444444444444
0.3505271084337349,1.0,0.0004509803921568627
0.35079125847776943,1.0,0.0004531397602536275
0.35092348284960423,1.0,0.0004556186698671038
0.35105580693815985,1.0,0.00048318277243120637
0.35118823085628065,1.0,0.0005
0.3521180030257186,1.0,0.0005454545454545454
0.35238455715367145,1.0,0.0005714285714285714
0.35265151515151516,1.0,0.0005717212398658094
0.35278514588859416,1.0,0.0005831697872020452
0.35291887793783167,1.0,0.0006451742482536303
0.35305271141448613,1.0,0.0006666666666666666
0.3546666666666667,1.0,0.0006766666666666667
0.3548018292682927,1.0,0.0006910569105691057
0.35493709492947007,1.0,0.0007026120959559689
0.35507246376811596,1.0,0.0007103669530377655
0.35520793590232735,1.0,0.0007553908355795149
0.3553435114503817,1.0,0.0007593499233085896
0.3554791905307369,1.0,0.00076
0.3557508597630875,1.0,0.0008
0.35629544584768463,1.0,0.0008023893469840027
0.35643185298621743,1.0,0.0008114924215928271
0.35656836461126007,1.0,0.0008120240480961925
0.35670498084291186,1.0,0.0008136054421768708
0.356978527607362,1.0,0.0008333333333333333
0.35711545838128117,1.0,0.0008530048641899088
0.3572524942440522,1.0,0.0008571428571428571
0.35738963531669865,1.0,0.0009
0.3575268817204301,1.0,0.0009461385883687999
0.35766423357664234,1.0,0.0009636369513219989
0.3578016910069178,1.0,0.0009791666666666666
0.35793925413302574,1.0,0.001
0.36127279782693056,1.0,0.0010120240480961924
0.36155339805825243,1.0,0.0010280797101449276
0.3616938616938617,1.0,0.001028169014084507
0.3618344345122425,1.0,0.001058397542356209
0.3619751166407465,1.0,0.0010666666666666667
0.36186770428015563,0.9989258861439313,0.0010674825174825176
0.36200856364344103,0.9989258861439313,0.0010700280112044818
0.3621495327102804,0.9989258861439313,0.0010824786324786324
0.362290611608882,0.9989258861439313,0.0010856132683549503
0.36243180046765394,0.9989258861439313,0.0011033444136667166
0.36257309941520466,0.9989258861439313,0.0011111111111111111
0.3627145085803432,0.9989258861439313,0.0011530797101449275
0.3628560280920796,0.9989258861439313,0.0011636363636363637
0.3629976580796253,0.9989258861439313,0.0011666666666666665
0.3631393986723936,0.9989258861439313,0.0011910569105691056
0.36328125,0.9989258861439313,0.0012
0.3635652853792025,0.9989258861439313,0.0012086464105138868
0.36370746969104417,0.9989258861439313,0.0012278857683151781
0.36384976525821594,0.9989258861439313,0.001247349281150404
0.36427732079905994,0.9989258861439313,0.00125
0.36442006269592475,0.9989258861439313,0.00126
0.364562916503332,0.9989258861439313,0.0012710789014012043
0.36470588235294116,0.9989258861439313,0.0012850195676356666
0.3654223968565815,0.9989258861439313,0.0012857142857142856
0.36556603773584906,0.9989258861439313,0.0013333333333333333
0.36729857819905215,0.9989258861439313,0.001337571086597524
0.36744369814302646,0.9989258861439313,0.0013577235772357723
0.36773428232502964,0.9989258861439313,0.0013690333366587393
0.36787974683544306,0.9989258861439313,0.0013884858027342366
0.36802532647407993,0.9989258861439313,0.0013898279776630447
0.3681710213776722,0.9989258861439313,0.0014
0.3683168316831683,0.9989258861439313,0.0014068965517241379
0.3684627575277338,0.9989258861439313,0.001423160173160173
0.3687549563838224,0.9989258861439313,0.001440866999941266
0.36890122967076555,0.9989258861439313,0.0014857142857142857
0.36904761904761907,0.9989258861439313,0.0014976517033959728
0.36919412465263995,0.9989258861439313,0.0014993982554903982
0.369340746624305,0.9989258861439313,0.0015
0.3705179282868526,0.9989258861439313,0.001511111111111111
0.3706656038262256,0.9989258861439313,0.0015240137221269297
0.3708133971291866,0.9989258861439313,0.0015522792746992034
0.37096130833665736,0.9989258861439313,0.001555323269949155
0.37110933758978454,0.9989258861439313,0.0016
0.3712574850299401,0.9989258861439313,0.0016171009284216833
0.37140575079872207,0.9989258861439313,0.0016405918558475428
0.3715541350379545,0.9989258861439313,0.0016456755013864624
0.37170263788968827,0.9989258861439313,0.0016606060606060606
0.3718512594962015,0.9989258861439313,0.0016666666666666666
0.37229783827061647,0.9989258861439313,0.0016690996168582375
0.37244693632358833,0.9989258861439313,0.0016753713627796914
0.37259615384615385,0.9989258861439313,0.0017000000000000001
0.37289494787489974,0.9989258861439313,0.0017068965517241378
