scenario,role,included_features,excluded_features,selected_model,best_params,cv_average_precision_mean,cv_average_precision_std,cv_f1_mean,test_average_precision,test_roc_auc,test_precision_at_0_5,test_recall_at_0_5,test_f1_at_0_5,operational_threshold,test_precision_operational,test_recall_operational,test_f1_operational,duration_seconds
leakage_controlled,primary,"[""tipo_ies"", ""tipo_financiamiento"", ""campo_amplio"", ""nivel_formacion"", ""modalidad""]","{""canton_norm"": ""Output of the same territory-normalization process evaluated by missing_territory_norm and invalid_territory_pair."", ""carrera_name_len"": ""A zero length is a direct proxy for missing program name."", ""estado"": ""Used by the conflicting_estado rule; excluded to avoid learning a direct input to the label-generating consistency check."", ""geo_method"": ""Direct diagnostic output of the territory-matching operation used by the territorial quality rules."", ""geo_score_canton"": ""Direct confidence output of the canton normalization operation."", ""geo_score_prov"": ""Direct confidence output of the province normalization operation."", ""has_canton_norm"": ""Deterministically reproduces part of missing_territory_norm."", ""has_nombre_carrera"": ""Deterministically reproduces the missing_nombre_carrera rule condition."", ""has_nombre_ies"": ""Deterministically reproduces the missing_nombre_ies rule condition."", ""has_provincia_norm"": ""Deterministically reproduces part of missing_territory_norm."", ""ies_name_len"": ""A zero length is a direct proxy for missing institution name."", ""natural_key_token_count"": ""Derived from the business key used by the duplicate rule and from fields participating in completeness checks."", ""provincia_norm"": ""Output of the same territory-normalization process evaluated by missing_territory_norm and invalid_territory_pair.""}",RandomForestClassifier,"{""model__class_weight"": ""balanced_subsample"", ""model__max_depth"": 10, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 2, ""model__n_estimators"": 300}",0.6313594620279909,0.013576842724146504,0.616499792820161,0.6553904089089512,0.8492639284091599,0.5642978003384095,0.7164339419978518,0.6313298627543776,0.36,0.4192680301399354,0.8367346938775511,0.5586231624238078,372.07319549600015
full_feature,sensitivity,"[""tipo_ies"", ""tipo_financiamiento"", ""campo_amplio"", ""nivel_formacion"", ""modalidad"", ""estado"", ""provincia_norm"", ""canton_norm"", ""geo_method"", ""geo_score_prov"", ""geo_score_canton"", ""has_nombre_ies"", ""has_nombre_carrera"", ""has_provincia_norm"", ""has_canton_norm"", ""ies_name_len"", ""carrera_name_len"", ""natural_key_token_count""]",{},RandomForestClassifier,"{""model__class_weight"": null, ""model__max_depth"": 20, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 2, ""model__n_estimators"": 500}",0.9155175662429791,0.005057091332451307,0.8258151294978104,0.9166344836197041,0.9702331224887615,0.8576470588235294,0.7830290010741139,0.8186412128017967,0.2,0.6874506708760852,0.9355531686358755,0.7925386715195633,1372.9849100680003
