false_positive_rate,true_positive_rate,threshold
0.0,0.0,inf
0.0,0.0010741138560687433,0.9996857364323791
0.0,0.03329752953813104,0.9978782524873917
0.0,0.036519871106337275,0.997818835198138
0.0,0.04940923737916219,0.9974677101925923
0.0,0.05155746509129968,0.9974620014175182
0.0,0.05907626208378088,0.9973413542529277
0.0,0.061224489795918366,0.9973335868977902
0.0,0.1041890440386681,0.9963470255531468
0.0,0.10741138560687433,0.9963439877407384
0.0,0.11385606874328678,0.9962583964488878
0.0,0.11600429645542427,0.996233647040981
0.0,0.12030075187969924,0.9961565703801251
0.0,0.12244897959183673,0.9961448386856456
0.0,0.14178302900107412,0.995201074848192
0.0,0.14500537056928034,0.9951520755747383
0.0,0.15467239527389903,0.9947605053460519
0.0,0.15789473684210525,0.9947059907344101
0.0,0.16326530612244897,0.9943660030715944
0.0,0.16541353383458646,0.9942783005285584
0.0,0.18904403866809882,0.9928887347684047
0.0,0.19119226638023631,0.9927934775318504
0.0,0.23845327604726102,0.9875531991103188
0.0,0.24167561761546724,0.9874739483574654
0.0,0.25241675617615467,0.9841346236938082
0.0,0.2545649838882922,0.9825640839607342
0.0,0.2889366272824919,0.9652054590191599
0.0003248862897985705,0.2889366272824919,0.9651767439961413
0.0003248862897985705,0.3007518796992481,0.961330323776264
0.000649772579597141,0.3007518796992481,0.9607217033007632
0.000649772579597141,0.3157894736842105,0.9551413707461286
0.0009746588693957114,0.3157894736842105,0.9551398689692047
0.0009746588693957114,0.35553168635875404,0.9368609026524403
0.001299545159194282,0.35553168635875404,0.9366439473123477
0.001299545159194282,0.3576799140708915,0.93615043012323
0.0016244314489928524,0.3576799140708915,0.9361166281300408
0.0016244314489928524,0.3651987110633727,0.9347756677118965
0.001949317738791423,0.3651987110633727,0.934447453780975
0.001949317738791423,0.38990332975295383,0.9209921083243924
0.0022742040285899934,0.38990332975295383,0.9202013741264555
0.0022742040285899934,0.39097744360902253,0.9196598530611574
0.002599090318388564,0.39097744360902253,0.919625669616801
0.002599090318388564,0.4296455424274973,0.9014525657172289
0.0029239766081871343,0.4296455424274973,0.9009457095553616
0.0029239766081871343,0.43071965628356607,0.8994734293533018
0.003248862897985705,0.43071965628356607,0.8990054570284959
0.003248862897985705,0.4446831364124597,0.8943242915690096
0.003248862897985705,0.44683136412459723,0.8942935486316762
0.0035737491877842753,0.44683136412459723,0.8938919138752618
0.0035737491877842753,0.45435016111707843,0.8892730928797633
