mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__solver,param_model__penalty,param_model__max_iter,param_model__l1_ratio,param_model__class_weight,param_model__C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
4.375034332275391,0.15274882123171388,0.3803103446960449,0.23601429221754938,saga,l1,500,1.0,,0.3,"{""model__C"": 0.3, ""model__class_weight"": null, ""model__l1_ratio"": 1.0, ""model__max_iter"": 500, ""model__penalty"": ""l1"", ""model__solver"": ""saga""}",0.8137382974998719,0.8314958840643603,0.8454099157604645,0.8512841809818896,0.8394436171952622,0.8362743791003698,0.013034609632865842,9,0.8455083280559278,0.8408521695987127,0.8388190376804988,0.8383138794027826,0.8469653181903691,0.8420917465856583,0.0035197779550749327
5.74649395942688,2.4558042262063444,0.2752522945404053,0.052994699120099596,saga,elasticnet,2000,0.25,,0.003,"{""model__C"": 0.003, ""model__class_weight"": null, ""model__l1_ratio"": 0.25, ""model__max_iter"": 2000, ""model__penalty"": ""elasticnet"", ""model__solver"": ""saga""}",0.7908565120619515,0.7951925858656811,0.8158604059039727,0.8216951051112091,0.8162673030487875,0.8079743823983204,0.012454845955411513,34,0.812098221719903,0.8095452917988324,0.80450466167291,0.8036686240583252,0.8146193153755802,0.8088872229251101,0.004243608582919826
3.789504814147949,0.1760947915491614,0.4353671073913574,0.1885459457797548,lbfgs,l2,1000,0.0,,1.0,"{""model__C"": 1.0, ""model__class_weight"": null, ""model__l1_ratio"": 0.0, ""model__max_iter"": 1000, ""model__penalty"": ""l2"", ""model__solver"": ""lbfgs""}",0.8184046919652412,0.8369170748669241,0.8536092766547845,0.8545537720641916,0.8383490959838928,0.8403667823070068,0.013228297597362292,3,0.8553796732751057,0.8500572992418128,0.8466116658758003,0.8476413347792311,0.8509386087875623,0.8501257163919025,0.0030590927057218774
3.595163679122925,0.8181717254436461,0.39775333404541013,0.09396811654279667,lbfgs,l2,1000,0.0,balanced,3.0,"{""model__C"": 3.0, ""model__class_weight"": ""balanced"", ""model__l1_ratio"": 0.0, ""model__max_iter"": 1000, ""model__penalty"": ""l2"", ""model__solver"": ""lbfgs""}",0.8117842652176772,0.82814150271224,0.8505763658662328,0.8515792185614921,0.8333480441912681,0.8350858793097821,0.014874105485390298,10,0.8497743200455659,0.8445609491965488,0.8394911413694006,0.8421127593654368,0.8453213445728373,0.8442521029099579,0.003434445848963982
10.017570877075196,3.7303972546405824,0.41743173599243166,0.177329769437834,saga,elasticnet,500,0.1,,0.03,"{""model__C"": 0.03, ""model__class_weight"": null, ""model__l1_ratio"": 0.1, ""model__max_iter"": 500, ""model__penalty"": ""elasticnet"", ""model__solver"": ""saga""}",0.812331057323628,0.8271705971816918,0.8432811512262869,0.8492222243480664,0.8371558100207215,0.8338321680200789,0.012991212420510632,14,0.842141213291187,0.8377724249997555,0.8352232129176203,0.8343151641170742,0.8401990683084865,0.8379302167268247,0.002942840559327764
4.076122140884399,2.587001240554711,0.4263192653656006,0.16408310610283972,saga,elasticnet,1000,0.1,,0.001,"{""model__C"": 0.001, ""model__class_weight"": null, ""model__l1_ratio"": 0.1, ""model__max_iter"": 1000, ""model__penalty"": ""elasticnet"", ""model__solver"": ""saga""}",0.7721387475496163,0.7784500953227587,0.7983774997532718,0.7989256056516462,0.8076025019490685,0.7910988900452723,0.013461677857707275,39,0.7932331300867695,0.791416232920426,0.785033748381149,0.7844137030708869,0.8062332344728467,0.7920660097864156,0.007880420466287614
21.877277898788453,3.0963841763862554,0.251082706451416,0.03987480445903753,saga,elasticnet,2000,0.25,balanced,1.0,"{""model__C"": 1.0, ""model__class_weight"": ""balanced"", ""model__l1_ratio"": 0.25, ""model__max_iter"": 2000, ""model__penalty"": ""elasticnet"", ""model__solver"": ""saga""}",0.8110624006757647,0.8282583329162903,0.8448458562256409,0.8491178741235866,0.8363928806594396,0.8339354689201445,0.013498058938174639,12,0.8449576907348066,0.8403381568790452,0.8368792673191516,0.8366363384149201,0.8472088045988801,0.8412040515893608,0.004253572658759106
25.995362281799316,2.348569990964234,0.2504601001739502,0.08970686267969724,saga,elasticnet,2000,0.1,balanced,30.0,"{""model__C"": 30.0, ""model__class_weight"": ""balanced"", ""model__l1_ratio"": 0.1, ""model__max_iter"": 2000, ""model__penalty"": ""elasticnet"", ""model__solver"": ""saga""}",0.8111921503703869,0.8283567011021042,0.8449750739046616,0.8491792538990216,0.8354093729199117,0.8338225104392173,0.013451658950688762,15,0.8453278903257212,0.8406877633843166,0.8371195229219772,0.8369631800096923,0.8481945126609413,0.8416585738605298,0.0044670920998437415
18.775872707366943,0.9748005452053042,0.11298098564147949,0.043999109713921215,saga,l1,1000,1.0,,30.0,"{""model__C"": 30.0, ""model__class_weight"": null, ""model__l1_ratio"": 1.0, ""model__max_iter"": 1000, ""model__penalty"": ""l1"", ""model__solver"": ""saga""}",0.8147838084228076,0.833642946594925,0.8467450782681588,0.8516827402103322,0.8391087981471868,0.837192674328682,0.01280343546815931,8,0.8484421262130043,0.8431547620804376,0.8411354533013274,0.8406846817315703,0.8536940278968183,0.8454222102446316,0.004970002865339237
1.0752612113952638,0.1451493360737866,0.18148212432861327,0.021661778096206646,liblinear,l2,1000,0.0,,3.0,"{""model__C"": 3.0, ""model__class_weight"": null, ""model__l1_ratio"": 0.0, ""model__max_iter"": 1000, ""model__penalty"": ""l2"", ""model__solver"": ""liblinear""}",0.8181675006290644,0.8392967915620043,0.8552576373458589,0.856674612029519,0.8397746165243636,0.8418342316181621,0.013937140913169123,1,0.8579707269129493,0.8525742077170889,0.8490691998728234,0.8504739311397638,0.8535318178609181,0.8527239767007087,0.003053637980056092
2.3938225746154784,0.9248398010838205,0.09705324172973633,0.01013154623638262,saga,l2,2000,0.0,balanced,0.03,"{""model__C"": 0.03, ""model__class_weight"": ""balanced"", ""model__l1_ratio"": 0.0, ""model__max_iter"": 2000, ""model__penalty"": ""l2"", ""model__solver"": ""saga""}",0.8100656679614677,0.8261638984627317,0.8426944470264734,0.8480864775459197,0.8342727446348567,0.8322566471262898,0.013365305754867109,23,0.8415177268186583,0.8369320889347395,0.8341141484106519,0.8338157773844399,0.839156200593817,0.8371071884284612,0.002948682240825337
5.624765920639038,0.8487566523315893,0.10831890106201172,0.04097457048447236,saga,l1,2000,1.0,balanced,0.1,"{""model__C"": 0.1, ""model__class_weight"": ""balanced"", ""model__l1_ratio"": 1.0, ""model__max_iter"": 2000, ""model__penalty"": ""l1"", ""model__solver"": ""saga""}",0.8095386927340037,0.8258150404107001,0.8412485544868479,0.8485588109156181,0.8337763275618949,0.831787485221813,0.013456771939856659,25,0.8395196657687627,0.8353776681484725,0.8327877296642754,0.8316277028460713,0.8378706181676688,0.8354366769190502,0.002970641514246139
3.7877669811248778,1.5943068222125656,0.10753026008605956,0.0027538829102968644,saga,elasticnet,2000,0.9,balanced,0.01,"{""model__C"": 0.01, ""model__class_weight"": ""balanced"", ""model__l1_ratio"": 0.9, ""model__max_iter"": 2000, ""model__penalty"": ""elasticnet"", ""model__solver"": ""saga""}",0.7984791981049996,0.8061408776144463,0.8249584048881119,0.8334580172453466,0.8216227384133848,0.8169318472532578,0.012778807990447909,29,0.8231377350161343,0.8197287599386115,0.8144903792053614,0.8129104415621201,0.8202701250907016,0.8181074881625857,0.0038131791103505073
5.794232320785523,2.6254833528281054,0.12390356063842774,0.016189157856580795,saga,elasticnet,2000,0.9,,0.03,"{""model__C"": 0.03, ""model__class_weight"": null, ""model__l1_ratio"": 0.9, ""model__max_iter"": 2000, ""model__penalty"": ""elasticnet"", ""model__solver"": ""saga""}",0.8160199386331652,0.8227862805750382,0.8419171744441818,0.8479879193810959,0.8344890955089527,0.8326400817084867,0.011818341469998803,22,0.8399017563739529,0.835476122372479,0.8315878553957409,0.8305331454189617,0.835415806252485,0.8345829371627239,0.003321223163236768
1.2307113647460937,0.18249581804822948,0.11914491653442383,0.04635378060486266,saga,l2,2000,0.0,balanced,0.003,"{""model__C"": 0.003, ""model__class_weight"": ""balanced"", ""model__l1_ratio"": 0.0, ""model__max_iter"": 2000, ""model__penalty"": ""l2"", ""model__solver"": ""saga""}",0.8044599282931376,0.8165574931561086,0.8357079886921511,0.8399680295109658,0.826807237535911,0.8247001354376549,0.012920448216196184,27,0.8324594408220766,0.8276719614430597,0.8238645972384715,0.8240788635030302,0.8285439957389792,0.8273237717491234,0.0031774391354038034
