precision,recall,threshold
0.23222748815165878,1.0,0.008863019670315154
0.23228542914171657,1.0,0.009587090932623612
0.2328664332166083,1.0,0.011953842634207292
0.23647447294894589,1.0,0.012910938127104761
0.23713703515028017,1.0,0.013247368974734781
0.2372579001019368,1.0,0.014298001607159957
0.23743942871716398,1.0,0.014404725216788627
0.23780332056194126,1.0,0.01462868722298984
0.23908577298407807,1.0,0.015111192545333576
0.23914718725918316,1.0,0.01591717204540717
0.23933161953727505,1.0,0.016708711600851536
0.23945473251028807,1.0,0.01673442975831556
0.2398248325605358,1.0,0.01715491958403422
0.2401341243229301,1.0,0.017506858099352596
0.24019607843137256,1.0,0.0177152744035872
0.24069286452947258,1.0,0.01781748528558395
0.2416298987801713,1.0,0.018437894780948476
0.2416926272066459,1.0,0.01875279330377615
0.24188100805404,1.0,0.019735731643245515
0.2420067585131271,1.0,0.019868995554011722
0.24225865209471767,1.0,0.020147436517417534
0.24244791666666668,1.0,0.020401059000491124
0.2425110705912998,1.0,0.021070636477581978
0.2427640156453716,1.0,0.021431702055713407
0.24295407098121086,1.0,0.021547560649247302
0.2430174889062908,1.0,0.022249384009692404
0.24314442413162707,1.0,0.02225984977888075
0.24403669724770644,1.0,0.022283027714770236
0.24422875131164742,1.0,0.022611910567124482
0.24448529411764705,1.0,0.02312335457116121
0.24454951405306016,1.0,0.023251968154575392
0.24532279314888011,1.0,0.023446582334814416
0.24642668078348332,1.0,0.0236191017276808
0.24675324675324675,1.0,0.023812507048427124
0.24688411561919915,1.0,0.024137032989296727
0.24694960212201592,1.0,0.024400004139277516
0.2470151233749005,1.0,0.02527471155485056
0.2474747474747475,1.0,0.026217881273952654
0.24754054772666845,1.0,0.02628613117969269
0.2476063829787234,1.0,0.026991047095408418
0.24773815859499734,1.0,0.02703859196990144
0.24780409901517167,1.0,0.02726055267472262
0.24793608521970706,1.0,0.027369996596819823
0.24800213106020244,1.0,0.027579066089556323
0.24806821209698907,1.0,0.027801407923151
0.24833288877033877,1.0,0.02855463842364239
0.24846543901788098,1.0,0.02928607110516219
0.24853176721836626,1.0,0.029318804827997196
0.25493421052631576,0.9989258861439313,0.029398148743505843
0.2550740537575425,0.9989258861439313,0.029448774680164685
0.2553542009884679,0.9989258861439313,0.02973134825648226
0.25556471558120364,0.9989258861439313,0.02974864886267508
0.2564102564102564,0.9989258861439313,0.029782777643295986
0.25662251655629137,0.9989258861439313,0.030124976468012585
0.25697706548770377,0.9989258861439313,0.030919463890991223
0.2570480928689884,0.9989258861439313,0.03093113621973744
0.25740381954054803,0.9989258861439313,0.031191138322099615
0.2574750830564784,0.9989258861439313,0.03219130460204542
0.25776053215077604,0.9989258861439313,0.03296316805901871
0.258046614872364,0.9989258861439313,0.0340675136394862
0.25818989450305385,0.9989258861439313,0.03408224807505847
0.25833333333333336,0.9989258861439313,0.03410525978292759
0.2584769316286826,0.9989258861439313,0.03469265443326487
0.25955902874686015,0.9989258861439313,0.03474593865115775
0.2608695652173913,0.9989258861439313,0.03543446536577894
