mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__n_estimators,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_features,param_model__max_depth,param_model__class_weight,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
22.08854489326477,1.181450288184897,3.7632473945617675,0.9473390859553827,300,10,4,,10,,"{""model__class_weight"": null, ""model__max_depth"": 10, ""model__max_features"": null, ""model__min_samples_leaf"": 4, ""model__min_samples_split"": 10, ""model__n_estimators"": 300}",0.620559382155551,0.6309952059422955,0.6086494213844061,0.6454913626794964,0.6231310671616278,0.6257652878646753,0.01219396185850682,14,0.6635020003025652,0.6616352327785849,0.667244782536945,0.6569756429044897,0.6628225408777771,0.6624360398800724,0.003312608873027989
21.6364465713501,0.8390211100654092,2.4170955657958983,0.5328828836797156,200,20,8,,30,balanced_subsample,"{""model__class_weight"": ""balanced_subsample"", ""model__max_depth"": 30, ""model__max_features"": null, ""model__min_samples_leaf"": 8, ""model__min_samples_split"": 20, ""model__n_estimators"": 200}",0.6161236343956863,0.6344864491187846,0.6029507646173558,0.6427598988065595,0.622090290705168,0.6236822075287108,0.013929457225582885,17,0.6648778665420161,0.662352390383656,0.6684058393683237,0.6572892071255042,0.663498022585053,0.6632846652009106,0.0036228411670535597
32.433030652999875,4.511252480413905,1.9970186710357667,0.7592088970019545,300,2,2,0.5,10,balanced_subsample,"{""model__class_weight"": ""balanced_subsample"", ""model__max_depth"": 10, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 2, ""model__n_estimators"": 300}",0.619110754812736,0.63854885238194,0.6185578336958433,0.654370892690814,0.6262089765586207,0.6313594620279909,0.013576842724146504,1,0.6627636324736706,0.6605199294473477,0.6659268954865993,0.6553724182763472,0.6606985495740552,0.6610562850516041,0.0034455732397993127
29.744137859344484,0.8261357062566881,1.9673973083496095,0.2955603452498999,300,10,2,,,balanced_subsample,"{""model__class_weight"": ""balanced_subsample"", ""model__max_depth"": null, ""model__max_features"": null, ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 10, ""model__n_estimators"": 300}",0.6155541653629645,0.6326317264306442,0.600820548605617,0.6267227275760427,0.6197267096780474,0.6190911755306632,0.010847278535277267,28,0.6724919443053757,0.6715669075585562,0.6783760267194072,0.668371886778935,0.6716365159847574,0.6724886562694063,0.0032614320908176306
3.455262470245361,0.5516728220659782,0.721218204498291,0.23568579054695368,100,2,8,log2,10,balanced,"{""model__class_weight"": ""balanced"", ""model__max_depth"": 10, ""model__max_features"": ""log2"", ""model__min_samples_leaf"": 8, ""model__min_samples_split"": 2, ""model__n_estimators"": 100}",0.6033998686775701,0.6303382197910629,0.6089108483413748,0.6541902072306058,0.6193312565637277,0.6232340801208682,0.018014069778884423,18,0.6410229736739026,0.6395569912665353,0.6437571227070442,0.6341077738310806,0.6411053095984538,0.6399100342154034,0.0032018204894513624
11.522846031188966,1.9602156649267346,2.180782508850098,0.7686907203288166,300,2,2,sqrt,20,balanced,"{""model__class_weight"": ""balanced"", ""model__max_depth"": 20, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 2, ""model__n_estimators"": 300}",0.6231742873999588,0.638609929318676,0.6112578632075443,0.6490193326571964,0.6290376306599119,0.6302198086486575,0.01291827014100413,3,0.6700831768520743,0.6691592261999653,0.6741514791275581,0.663922412281711,0.6686217706723313,0.6691876130267279,0.0032706367422729713
11.240765142440797,2.929407052727778,1.450774908065796,0.7453135649644586,200,20,2,,5,balanced_subsample,"{""model__class_weight"": ""balanced_subsample"", ""model__max_depth"": 5, ""model__max_features"": null, ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 20, ""model__n_estimators"": 200}",0.5819364104480119,0.6051507271819166,0.5990355862471797,0.6240296979150562,0.6009225786822193,0.6022150000948767,0.013472191789787442,37,0.6179520835862946,0.6102390023240329,0.6219383274684754,0.6120088164713137,0.6075772181320294,0.6139430895964292,0.005253224837882189
5.418754291534424,0.97615004749124,1.082032823562622,0.2376867561860319,100,2,4,log2,30,balanced,"{""model__class_weight"": ""balanced"", ""model__max_depth"": 30, ""model__max_features"": ""log2"", ""model__min_samples_leaf"": 4, ""model__min_samples_split"": 2, ""model__n_estimators"": 100}",0.6194113081296972,0.6398576677698594,0.6149664068045673,0.6488634997746334,0.632182043091945,0.6310561851141405,0.01257233657342137,2,0.6616749618914275,0.6597383457703726,0.6630882559965462,0.6529343257116296,0.6610972716632564,0.6597066322066464,0.0035527093974953407
7.046624851226807,1.8189228806694655,1.4048903942108155,0.46419210528388744,100,10,1,0.5,,balanced_subsample,"{""model__class_weight"": ""balanced_subsample"", ""model__max_depth"": null, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 1, ""model__min_samples_split"": 10, ""model__n_estimators"": 100}",0.6156281109671011,0.6328581552919761,0.600151145655819,0.6287466622842098,0.6200146489364676,0.6194797446271146,0.011433053637986199,27,0.6740978972519514,0.6728963071032454,0.6814436075144815,0.6706001553983628,0.6730038646526878,0.6744083663841458,0.003697361982248333
8.738071155548095,1.2989380528316712,2.956108236312866,0.8463000301473667,200,20,8,0.5,30,,"{""model__class_weight"": null, ""model__max_depth"": 30, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 8, ""model__min_samples_split"": 20, ""model__n_estimators"": 200}",0.6178566364398899,0.6331981281857796,0.6054205431589648,0.6395965378905906,0.6278208702426734,0.6247785431835796,0.012019676290167683,15,0.6634151927938292,0.6600211101690552,0.6667471006652926,0.6557246918006602,0.661382645784106,0.6614581482425886,0.0036536650892680235
