mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__subsample,param_model__n_estimators,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_depth,param_model__learning_rate,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
1.7491318225860595,0.05786237448761336,0.1009702205657959,0.009919483869527982,0.6,50,20,5,3,0.01,"{""model__learning_rate"": 0.01, ""model__max_depth"": 3, ""model__min_samples_leaf"": 5, ""model__min_samples_split"": 20, ""model__n_estimators"": 50, ""model__subsample"": 0.6}",0.5590603794037539,0.5804126609443003,0.5683785687771373,0.5941211297570322,0.5822101414451711,0.5768365760654789,0.01206607176600998,35,0.5842749250746191,0.5795814271799982,0.5771208199345998,0.5724606792949234,0.5844613289707071,0.5795798360909695,0.004529944586302522
2.6623260021209716,0.19978753707495434,0.08712544441223144,0.01406272717312602,0.9,150,5,10,1,0.2,"{""model__learning_rate"": 0.2, ""model__max_depth"": 1, ""model__min_samples_leaf"": 10, ""model__min_samples_split"": 5, ""model__n_estimators"": 150, ""model__subsample"": 0.9}",0.5870386538689882,0.587685534190504,0.5885934548507522,0.6220916788893548,0.5946227161764941,0.5960064075952186,0.013318899278350562,25,0.6039565400209774,0.6039205564685385,0.6052729841872814,0.599555231845433,0.6032706445212508,0.6031951914086962,0.0019327714714672537
1.9573912620544434,0.20074196447401538,0.08759021759033203,0.01583371150933651,0.9,100,5,2,1,0.2,"{""model__learning_rate"": 0.2, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 5, ""model__n_estimators"": 100, ""model__subsample"": 0.9}",0.5873276027327695,0.5808485346238643,0.5856557675970853,0.620697018656676,0.592819464729232,0.5934696776679254,0.014140908040336329,30,0.6017234010988245,0.5994660857135132,0.5985121246626308,0.5983707227700648,0.6015963380708683,0.5999337344631803,0.0014594404923760791
2.2793749809265136,0.18333459052576628,0.09114632606506348,0.014760769675735924,1.0,150,20,1,1,0.2,"{""model__learning_rate"": 0.2, ""model__max_depth"": 1, ""model__min_samples_leaf"": 1, ""model__min_samples_split"": 20, ""model__n_estimators"": 150, ""model__subsample"": 1.0}",0.5871282745029726,0.5848050384093382,0.590315111489881,0.6195180774153698,0.5953774357657526,0.5954287875166628,0.012555546732173576,28,0.603596905602117,0.6022723630260497,0.6054294850930146,0.6004046583007892,0.6044220769079541,0.603225097785985,0.0017488799777229441
5.8131178855896,0.9501533857345309,0.1399219512939453,0.06322170578006557,0.6,200,2,10,4,0.05,"{""model__learning_rate"": 0.05, ""model__max_depth"": 4, ""model__min_samples_leaf"": 10, ""model__min_samples_split"": 2, ""model__n_estimators"": 200, ""model__subsample"": 0.6}",0.6152830305271065,0.6328067702002281,0.6148403046658911,0.655246960130226,0.6200920279132786,0.627653818687346,0.015246885485076671,1,0.655707419286567,0.6504343205174574,0.6550051167346733,0.6459703383101812,0.6523147489628708,0.6518863887623499,0.003510509536639128
3.6993690490722657,0.7034824637596198,0.08446769714355469,0.02502581082765839,0.6,200,10,5,2,0.05,"{""model__learning_rate"": 0.05, ""model__max_depth"": 2, ""model__min_samples_leaf"": 5, ""model__min_samples_split"": 10, ""model__n_estimators"": 200, ""model__subsample"": 0.6}",0.6066474059570051,0.6066029454155936,0.5924148522652132,0.6445840912205907,0.6089245305828396,0.6118347650882484,0.017391960630687667,17,0.6252605577519074,0.6190291819357239,0.6248637201968296,0.6191038989710358,0.6263859697479144,0.6229286657206823,0.003192801963355038
3.2923911571502686,0.4976670079576671,0.08803863525390625,0.028761216270691774,0.9,200,10,10,2,0.2,"{""model__learning_rate"": 0.2, ""model__max_depth"": 2, ""model__min_samples_leaf"": 10, ""model__min_samples_split"": 10, ""model__n_estimators"": 200, ""model__subsample"": 0.9}",0.6139089331918367,0.6276829976112693,0.6013946507349113,0.6545180375666831,0.6147712682689177,0.6224551774747237,0.018060917137514586,11,0.6416252933237464,0.639954118701862,0.6452406140319084,0.6332537178460069,0.6411292718951533,0.6402406031597354,0.003914226550041874
3.3710813999176024,0.34203177147284597,0.11752796173095703,0.03520756015922809,0.75,100,5,5,4,0.2,"{""model__learning_rate"": 0.2, ""model__max_depth"": 4, ""model__min_samples_leaf"": 5, ""model__min_samples_split"": 5, ""model__n_estimators"": 100, ""model__subsample"": 0.75}",0.6154644444803449,0.6310408496966439,0.6150251681797162,0.6549988020426409,0.6181493631811107,0.6269357255160914,0.015198948229522061,3,0.663713270850495,0.6614872449440509,0.6664217197608266,0.6555880343576884,0.6638239791687567,0.6622068498163636,0.003659947802126051
2.251392936706543,0.30209749131019015,0.09317574501037598,0.03349634368258142,0.9,100,20,2,2,0.01,"{""model__learning_rate"": 0.01, ""model__max_depth"": 2, ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 20, ""model__n_estimators"": 100, ""model__subsample"": 0.9}",0.5091848310059025,0.5268168126938532,0.5327770635857081,0.5513441066308602,0.5241874920615472,0.5288620611955743,0.013667462358674597,38,0.5301652989473123,0.5282172573216819,0.5484883461139893,0.5216276077027912,0.5264589442710356,0.5309914908713621,0.009195055137885431
3.60127739906311,0.5538942214573833,0.11422142982482911,0.031385601552551406,0.9,200,10,5,1,0.2,"{""model__learning_rate"": 0.2, ""model__max_depth"": 1, ""model__min_samples_leaf"": 5, ""model__min_samples_split"": 10, ""model__n_estimators"": 200, ""model__subsample"": 0.9}",0.586823578974114,0.5874681184858983,0.5847443002101059,0.6223262350075777,0.5957749850065486,0.5954274435368487,0.013965476430678763,29,0.6027935817345669,0.6031333358384644,0.6030542559289481,0.600985817374585,0.6063818238536341,0.6032697629460396,0.00174316577767015
2.083311367034912,0.4601069259486986,0.09136648178100586,0.046627277791487905,0.9,100,5,10,2,0.1,"{""model__learning_rate"": 0.1, ""model__max_depth"": 2, ""model__min_samples_leaf"": 10, ""model__min_samples_split"": 5, ""model__n_estimators"": 100, ""model__subsample"": 0.9}",0.6031534039620621,0.6066566555796848,0.5935890499246312,0.6400422093532055,0.6073640889557977,0.6101610815550763,0.015727210465391855,18,0.6193853170658332,0.616618482379639,0.626227388625411,0.6159291026286595,0.6218783182243288,0.6200077217847743,0.0037601290469423732
5.510502672195434,0.45326476945945604,0.1311354160308838,0.04457576480950077,0.9,300,10,2,2,0.2,"{""model__learning_rate"": 0.2, ""model__max_depth"": 2, ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 10, ""model__n_estimators"": 300, ""model__subsample"": 0.9}",0.6158314882519983,0.6291008814145831,0.5987946313076632,0.6594396763170622,0.6103046049947578,0.6226942564572129,0.020799345456574435,9,0.646676122019903,0.6440674953399899,0.6494611962193236,0.6393449187934889,0.6418325781553395,0.644276462105609,0.003548977059520698
3.7854895114898683,0.4452454412089863,0.0985419750213623,0.018270312783749392,1.0,150,20,2,4,0.2,"{""model__learning_rate"": 0.2, ""model__max_depth"": 4, ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 20, ""model__n_estimators"": 150, ""model__subsample"": 1.0}",0.6160348531038344,0.6304536162181913,0.611688078359966,0.6507023646185601,0.6178550315890337,0.625346788777917,0.01413070313022126,5,0.6694206257033795,0.6657007982234804,0.6714049905681622,0.6605712027740925,0.6666168436646589,0.6667428921867546,0.003690447570920341
