fold,rows,groups,average_precision,f1
0,3207,2908,0.6152830305271065,0.5369458128078818
1,3208,2909,0.6328067702002281,0.5503246753246753
2,3207,2909,0.6148403046658911,0.5550239234449761
3,3207,2909,0.655246960130226,0.6036829463570856
4,3207,2909,0.6200920279132786,0.5466556564822461
