fold,rows,groups,average_precision,f1
0,3207,2908,0.619110754812736,0.5981198589894242
1,3208,2909,0.63854885238194,0.6284701712935618
2,3207,2909,0.6185578336958433,0.6102292768959435
3,3207,2909,0.654370892690814,0.6335329341317365
4,3207,2909,0.6262089765586207,0.6121467227901383
