fold,rows,groups,average_precision,f1
0,3207,2908,0.8938437489116827,0.7922912205567452
1,3208,2909,0.9089684243385632,0.8200423429781228
2,3207,2909,0.9091546276061637,0.8176795580110497
3,3207,2909,0.9203584138530074,0.8220516399162596
4,3207,2909,0.8951917761063,0.7988787666433076
