fold,rows,groups,average_precision,f1
0,3207,2908,0.5938435179051957,0.5138539042821159
1,3208,2909,0.59033627716507,0.5461978740801309
2,3207,2909,0.586344111249303,0.5566502463054187
3,3207,2909,0.6214560493970618,0.5793327908868999
4,3207,2909,0.6015116148319788,0.5552825552825553
