precision,recall,threshold
0.23222748815165878,1.0,3.197733672185172e-06
0.23228542914171657,1.0,5.9372065642884615e-06
0.2323433990516596,1.0,7.083758993743177e-06
0.2324013979031453,1.0,7.189067894496231e-06
0.2324594257178527,1.0,1.0691448316944926e-05
0.23251748251748253,1.0,1.3433407793206257e-05
0.23257556832375717,1.0,1.629911323065969e-05
0.23263368315842078,1.0,2.2741346777747334e-05
0.23269182704323918,1.0,2.4575428354042782e-05
0.23275,1.0,2.4857909239302145e-05
0.23280820205051264,1.0,2.5603840653382926e-05
0.2328664332166083,1.0,2.6494928417561137e-05
0.2329246935201401,1.0,2.6527231735442e-05
0.23298298298298298,1.0,2.691927495407289e-05
0.2330413016270338,1.0,2.741205024875017e-05
0.23309964947421133,1.0,2.9613767464097813e-05
0.2331580265464563,1.0,2.9626971375506917e-05
0.23321643286573146,1.0,2.9877955033041994e-05
0.23327486845402154,1.0,3.0045380725938556e-05
0.23333333333333334,1.0,3.0338068207084e-05
0.23339182752569565,1.0,3.545757514315715e-05
0.23345035105315948,1.0,3.637991093372614e-05
0.23350890393779783,1.0,3.665326630285648e-05
0.23356748620170598,1.0,3.754173672701323e-05
0.23362609786700125,1.0,3.806118753654124e-05
0.23368473895582328,1.0,3.822875613164802e-05
0.23374340949033393,1.0,3.896731013269902e-05
0.23380210949271724,1.0,3.972674981833213e-05
0.2338608389851796,1.0,4.008756847498343e-05
0.23391959798994974,1.0,4.135021564909579e-05
0.23397838652927871,1.0,4.142823802916844e-05
0.23403720462543992,1.0,4.186517589570791e-05
0.2340960523007292,1.0,4.246269432523927e-05
0.23415492957746478,1.0,4.388881705075313e-05
0.2342138364779874,1.0,4.4648601295527384e-05
0.2342727730246603,1.0,4.6226691120710114e-05
0.2343317392398691,1.0,4.976904739076429e-05
0.23439073514602216,1.0,4.98218756181598e-05
0.23444976076555024,1.0,5.0262468764160275e-05
0.2345088161209068,1.0,5.0915744661137416e-05
0.2345679012345679,1.0,5.150967584206488e-05
0.23462701612903225,1.0,5.1681769079952665e-05
0.23468616082682128,1.0,5.186604703715565e-05
0.23474533535047906,1.0,5.307823899770395e-05
0.2348045397225725,1.0,5.416515692231046e-05
0.23492303810244763,1.0,5.598496568732373e-05
0.23498233215547704,1.0,5.6397777677900886e-05
0.23504165614743752,1.0,5.8493929903739335e-05
0.2351010101010101,1.0,5.852760936949774e-05
0.2351603940388987,1.0,5.925016237516416e-05
0.23521980798383021,1.0,5.996557212696539e-05
0.23527925195855445,1.0,6.075346741864229e-05
0.2353387259858443,1.0,6.243312651331225e-05
0.23539823008849559,1.0,6.266169813325596e-05
0.23545776428932727,1.0,6.292978975768748e-05
0.23551732861118138,1.0,6.47598301463924e-05
0.23557692307692307,1.0,6.542525121943954e-05
0.23563654770944065,1.0,6.566285378621723e-05
0.23569620253164558,1.0,6.588090796155105e-05
0.23575588756647253,1.0,6.617039336063702e-05
0.23581560283687944,1.0,6.783540907586435e-05
0.23587534836584748,1.0,6.935093373220358e-05
0.23593512417638116,1.0,6.988275619868424e-05
0.23599493029150823,1.0,7.01648346058838e-05
